id,name,city,region,category,brand,brand_group,keys,year_opened,year_opened_verified,status,lat,lng,owner,data_quality,notes
1,Four Seasons Hotel Casablanca,Casablanca,Grand Casablanca-Settat,Luxury,Four Seasons,Four Seasons Hotels & Resorts,184,2015,,Operating,33.5955,-7.6308,Undisclosed,verified,
2,Hyatt Regency Casablanca,Casablanca,Grand Casablanca-Settat,Upper Upscale,Hyatt Regency,Hyatt Hotels Corporation,255,1973,verified,Operating,33.5731,-7.6534,Undisclosed,verified,
3,Sofitel Casablanca Tour Blanche,Casablanca,Grand Casablanca-Settat,Luxury,Sofitel,Accor,171,2012,verified,Operating,33.5869,-7.6192,Risma,verified,
4,Novotel Casablanca City Center,Casablanca,Grand Casablanca-Settat,Upscale,Novotel,Accor,281,2007,verified,Operating,33.5848,-7.6334,Risma,verified,
5,Kenzi Tower Hotel,Casablanca,Grand Casablanca-Settat,Upper Upscale,Kenzi Hotels,Kenzi Hotels Group,237,2009,verified,Operating,33.5755,-7.6289,Kenzi Hotels Group,verified,
6,Radisson Blu Hotel Casablanca City Center,Casablanca,Grand Casablanca-Settat,Upper Upscale,Radisson Blu,Radisson Hotel Group,120,2019,verified,Operating,33.575,-7.581,Undisclosed,verified,
7,Ibis Casablanca City Center,Casablanca,Grand Casablanca-Settat,Midscale,Ibis,Accor,266,,unverified,Operating,33.566,-7.576,Risma,verified,
8,Movenpick Hotel Casablanca,Casablanca,Grand Casablanca-Settat,Upper Upscale,Mövenpick,Accor,184,2014,verified,Operating,33.5874,-7.6078,Undisclosed,verified,
10,Barceló Casablanca,Casablanca,Grand Casablanca-Settat,Upscale,Barceló,Barceló Hotel Group,85,2006,verified,Operating,33.5921,-7.6198,Undisclosed,verified,
11,Four Seasons Resort Marrakech,Marrakech,Marrakech-Safi,Luxury,Four Seasons,Four Seasons Hotels & Resorts,139,2011,,Operating,31.6178,-8.0201,Undisclosed,verified,
12,Mandarin Oriental Marrakech,Marrakech,Marrakech-Safi,Luxury,Mandarin Oriental,Mandarin Oriental Hotel Group,65,2015,,Operating,31.6089,-8.0312,Undisclosed,verified,
13,Royal Mansour Marrakech,Marrakech,Marrakech-Safi,Luxury,Royal Mansour,Royal Mansour Collection,53,2010,,Operating,31.6244,-7.9992,Royal Mansour Brand,verified,
14,Sofitel Marrakech Palais Imperial & Spa,Marrakech,Marrakech-Safi,Luxury,Sofitel,Accor,157,,unverified,Operating,31.6312,-8.0156,Risma,verified,
15,Fairmont Royal Palm Marrakech,Marrakech,Marrakech-Safi,Luxury,Fairmont,Accor,134,2017,verified,Operating,31.5789,-8.0912,Risma,verified,
16,Novotel Marrakech,Marrakech,Marrakech-Safi,Upscale,Novotel,Accor,112,2009,verified,Operating,31.62,-7.974,Risma,verified,
19,Radisson Blu Marrakech Carré Eden,Marrakech,Marrakech-Safi,Upper Upscale,Radisson Blu,Radisson Hotel Group,198,2016,verified,Operating,31.639,-7.994,Undisclosed,verified,
20,Ibis Marrakech Centre Gare,Marrakech,Marrakech-Safi,Midscale,Ibis,Accor,109,1991,verified,Operating,31.625,-7.967,Risma,verified,
21,Sofitel Agadir Royal Bay Resort,Agadir / Taghazout,Souss-Massa,Luxury,Sofitel,Accor,273,2024,verified,Operating,30.4089,-9.5998,Risma,estimated — key count uncertain,
22,Riu Tikida Palace Agadir,Agadir / Taghazout,Souss-Massa,Upper Upscale,Riu,RIU Hotels & Resorts,444,2012,verified,Operating,30.4012,-9.6012,Undisclosed,verified,
